country,location,loc_code,lat,lon,cycle,phenotype_date,Year,Month,Day,NDVI
USA,Colorado,COL,40.449,-104.64,2010,2010-05-24,2010,5,24,0.83
USA,Colorado,COL,40.449,-104.64,2010,2010-06-16,2010,6,16,0.5
USA,Colorado,COL,40.449,-104.64,2010,2010-06-29,2010,6,29,0.16
USA,Colorado,COL,40.449,-104.64,2011,2011-03-11,2011,3,11,0.21
USA,Colorado,COL,40.449,-104.64,2011,2011-04-01,2011,4,1,0.29
USA,Colorado,COL,40.449,-104.64,2011,2011-04-08,2011,4,8,0.4
USA,Colorado,COL,40.449,-104.64,2011,2011-04-15,2011,4,15,0.49
USA,Colorado,COL,40.449,-104.64,2011,2011-04-22,2011,4,22,0.53
USA,Colorado,COL,40.449,-104.64,2011,2011-04-28,2011,4,28,0.6
USA,Colorado,COL,40.449,-104.64,2011,2011-05-05,2011,5,5,0.66
USA,Colorado,COL,40.449,-104.64,2011,2011-05-16,2011,5,16,0.79
USA,Colorado,COL,40.449,-104.64,2011,2011-05-23,2011,5,23,0.8
USA,Colorado,COL,40.449,-104.64,2011,2011-06-10,2011,6,10,0.79
USA,Colorado,COL,40.449,-104.64,2011,2011-06-27,2011,6,27,0.66
USA,Colorado,COL,40.449,-104.64,2011,2011-06-30,2011,6,30,0.16
China,Zhengzhou,ZHE,24.85,113.58,2016,2016-03-27,2016,3,27,0.79
China,Zhengzhou,ZHE,24.85,113.58,2016,2016-04-09,2016,4,9,0.94
China,Zhengzhou,ZHE,24.85,113.58,2016,2016-04-18,2016,4,18,0.94
China,Zhengzhou,ZHE,24.85,113.58,2016,2016-04-30,2016,4,30,0.92
China,Zhengzhou,ZHE,24.85,113.58,2016,2016-05-18,2016,5,18,0.88
China,Zhengzhou,ZHE,24.85,113.58,2016,2016-06-03,2016,6,3,0.16
China,Zhengzhou,ZHE,24.85,113.58,2017,2017-04-23,2017,4,23,0.9
China,Zhengzhou,ZHE,24.85,113.58,2017,2017-04-30,2017,4,30,0.92
China,Zhengzhou,ZHE,24.85,113.58,2017,2017-05-09,2017,5,9,0.9
China,Zhengzhou,ZHE,24.85,113.58,2017,2017-05-17,2017,5,17,0.87
China,Zhengzhou,ZHE,24.85,113.58,2017,2017-06-01,2017,6,1,0.16
India,Pusa,PUS-NS,25.958,85.67,2015,2014-12-20,2014,12,20,0.34
India,Pusa,PUS-NS,25.958,85.67,2015,2014-12-29,2014,12,29,0.61
India,Pusa,PUS-NS,25.958,85.67,2015,2015-01-09,2015,1,9,0.68
India,Pusa,PUS-NS,25.958,85.67,2015,2015-01-20,2015,1,20,0.76
India,Pusa,PUS-NS,25.958,85.67,2015,2015-02-11,2015,2,11,0.76
India,Pusa,PUS-NS,25.958,85.67,2015,2015-02-19,2015,2,19,0.76
India,Pusa,PUS-NS,25.958,85.67,2015,2015-02-25,2015,2,25,0.67
India,Pusa,PUS-NS,25.958,85.67,2015,2015-03-07,2015,3,7,0.53
India,Pusa,PUS-NS,25.958,85.67,2016,2015-12-11,2015,12,11,0.51
India,Pusa,PUS-NS,25.958,85.67,2016,2015-12-22,2015,12,22,0.67
India,Pusa,PUS-NS,25.958,85.67,2016,2015-12-30,2015,12,30,0.71
